gene_id,gene_name,info_gain,gain_ratio,sym_uncer,chi-square
ADAM8|101,ADAM8,0,NA,0,0
ADAM9|8754,ADAM9,0,NA,0,0
ADAMDEC1|27299,ADAMDEC1,0.044610964,0.139106906,0.069094439,0.202927269
ADAMTS10|81794,ADAMTS10,0,NA,0,0
ADAMTS12|81792,ADAMTS12,0,NA,0,0
ADAMTS13|11093,ADAMTS13,0,NA,0,0
ADAMTS14|140766,ADAMTS14,0,NA,0,0
ADAMTS15|170689,ADAMTS15,0,NA,0,0
ADAMTS16|170690,ADAMTS16,0,NA,0,0
ADAMTS17|170691,ADAMTS17,0,NA,0,0
ADAMTS18|170692,ADAMTS18,0,NA,0,0
ADAMTS19|171019,ADAMTS19,0,NA,0,0
ADAMTS1|9510,ADAMTS1,0,NA,0,0
ADAMTS20|80070,ADAMTS20,0,NA,0,0
ADAMTS2|9509,ADAMTS2,0,NA,0,0
ADAMTS3|9508,ADAMTS3,0,NA,0,0
ADAMTS4|9507,ADAMTS4,0,NA,0,0
ADAMTS5|11096,ADAMTS5,0,NA,0,0
ADAMTS6|11174,ADAMTS6,0,NA,0,0
ADAMTS7|11173,ADAMTS7,0,NA,0,0
ADAMTS8|11095,ADAMTS8,0,NA,0,0
ADAMTS9|56999,ADAMTS9,0,NA,0,0
ADAMTSL1|92949,ADAMTSL1,0,NA,0,0
ADAMTSL2|9719,ADAMTSL2,0,NA,0,0
ADAMTSL3|57188,ADAMTSL3,0,NA,0,0
ADAMTSL4|54507,ADAMTSL4,0,NA,0,0
ADAMTSL5|339366,ADAMTSL5,0,NA,0,0
ADAP1|11033,ADAP1,0,NA,0,0
ADAP2|55803,ADAP2,0,NA,0,0
ADARB1|104,ADARB1,0,NA,0,0
ADARB2|105,ADARB2,0,NA,0,0
ADAR|103,ADAR,0,NA,0,0
ADAT1|23536,ADAT1,0,NA,0,0
ADAT2|134637,ADAT2,0,NA,0,0
ADAT3|113179,ADAT3,0,NA,0,0
ADA|100,ADA,0,NA,0,0
ADCK1|57143,ADCK1,0,NA,0,0
ADCK2|90956,ADCK2,0,NA,0,0
ADCK4|79934,ADCK4,0,NA,0,0
ADCK5|203054,ADCK5,0,NA,0,0
ADCY10|55811,ADCY10,0,NA,0,0
ADCY1|107,ADCY1,0,NA,0,0
ADCY2|108,ADCY2,0,NA,0,0
ADCY3|109,ADCY3,0,NA,0,0
ADCY4|196883,ADCY4,0,NA,0,0
ADCY5|111,ADCY5,0,NA,0,0
ADCY6|112,ADCY6,0,NA,0,0
ADCY7|113,ADCY7,0,NA,0,0
ADCY8|114,ADCY8,0,NA,0,0
ADCY9|115,ADCY9,0,NA,0,0
ADCYAP1R1|117,ADCYAP1R1,0,NA,0,0
ADCYAP1|116,ADCYAP1,0,NA,0,0
ADC|113451,ADC,0,NA,0,0
ADD1|118,ADD1,0,NA,0,0
ADD2|119,ADD2,0,NA,0,0
ADD3|120,ADD3,0,NA,0,0
